Debiteurnummer;Artikelnummer;Type;P/B/K
00000034;RT2004512       ;P;58.31
00000045;BIR 1/2-F       ;P;40
00000045;BIR 1/2-M       ;P;40
00000045;IRS 1/2-V-F     ;P;40
00000045;R1AT 1/2        ;P;39
00000045;R1AT 1/4        ;P;39
00000045;R1AT 3/8        ;P;39
00000045;R1AT 5/16       ;P;39
00000045;R2AT 1/2        ;P;39
00000045;R2AT 1/4        ;P;39
00000045;R2AT 3/8        ;P;39
00000045;R2AT 5/16       ;P;39
00000094;21317005GJ      ;B;9.09
00000094;6P 1-F          ;P;67
00000094;6P 1-M          ;P;67
00000094;6P 3/4-F        ;P;67
00000094;6P 3/4-M        ;P;67
00000094;A15 3/4-F       ;P;67
00000094;A15 3/4-M       ;P;67
00000094;BIR 1-F         ;P;67
00000094;BIR 1-M         ;P;67
00000094;OVERMASTER 1    ;P;70
00000094;VCR 1-F         ;P;67
00000094;VCR 1-M         ;P;67
00000094;VCR 3/4-F       ;P;67
00000094;VCR 3/4-M       ;P;67
00001092;FAP9AZZN-15L-F  ;P;70
00001092;FAP9AZZN-15L-M  ;P;70
00001092;GRN6-9FM-HENDEL ;P;67
00001092;GRN6-9FMZN-CAP  ;P;67
00001092;GRN6-9FMZN-F    ;P;67
00001092;GRN6-9FMZN-M    ;P;67
00001092;NTMAR63-250AA   ;B;11.55
00001092;NTMAR63-400AA   ;B;11.55
00001097;MR 050 C D      ;P;57
00001097;MR 125 C D      ;P;57
00001097;MR 160 C D      ;P;57
00001097;MR 200 C D      ;P;57
00001097;MR 250 C D      ;P;57
00001109;MS 160 C        ;B;190.76
00001109;MS 200 C        ;B;193.97
00001109;MS 250 C        ;B;197.15
00001119;MR 050 C D      ;B;115.62
00001119;MR 200 C D      ;B;131.43
00001119;MR 315 C D      ;B;137.75
00001125;3050-0250VBKA   ;P;43.23
00001125;EV08451424V     ;P;67.5
00001125;MM S 32 CP      ;P;56.6
00001126;MT 315 C        ;P;50
00001126;MT 400 C        ;P;50
00001143;2TE 3/4         ;P;66
00001155;PK 050 CU       ;P;60
00001155;PK 080 CU       ;P;60
00001155;PK AFD U        ;P;55
00001199;BVR1208A25AB25A ;P;64
00001199;BVS1208A25AB25A ;P;64
