Debiteurnummer;Naam1;Naam2;Zoeknaam;Adres;Postcode;Plaats;Land;Contact;Telefoon;Mobiel;Email;Email cc;Email factuur;Email factuur cc;BTW nummer
00000000;NIEUWE KLANT;;N       ;;        ;        ;NL      ;;;;;;;;
00000002;Trailerpartner AS;;STILMANT;Borgeskogen 13;N-3160  ;STOKKE  ;N       ;;0641013157;;;;;;
00000003;p. kleissen;;KLEISSEN;ramsbeekweg 80 ;7152 KS ;EIBERGEN;NL      ;;0622922095;;p.kleissen@upcmail.nl;;;;
00000005;Autobedrijf Dennis Maas;;MAAS    ;Ambachtlaan 22;4871 ED ;ETTEN LEUR;NL      ;;076-5013912;;info@autobedrijfdennismaas.nl                               ;;;;
00000007;K. de Vries;;VRIES   ;Goorweg 18 ;8085 PC ;DOORNSPIJK;NL      ;;0661015613;;karwims@gmail.com;;;;
00000008;Lavastica International B.V.;;LAVASTIC;Weg en Bos 132B;2661 GX ;BERGSCHENHOEK;NL      ;;010-265 5070;;erik@lavastica.com;;Accounts@lavastica.com;;
00000009;ZWAARTRANSPORT ZEELAND;;JAC. RIJ;Duitsland 11;4389 PJ ;RITTHEM;NL      ;;0113-561208;;john.mol@jacrijk.nl;;;;
00000010;KURSTJENS BV;;KURSTJEN;DE STEEGEN 6;5321 JZ ;HEDEL   ;NL      ;ARNO HABRAKEN;073-5996608;;info@kurstjens.nl                                           ;;;;
00000011;EUREGIO HYDRAULICS;;EUREGIO ;INDUSTRIEZONE ROVERT 39 A;B-4731  ;EYNATTEN;BE      ;;0032-87858854;;info@euregiohydraulics.be                                   ;;;;
00000012;HOLLAND LIFT INTERNATIONAL B.V;;HOLLAND ;ANODEWEG 1;1627 LJ ;HOORN   ;NL      ;N. BAKKER;0229-285555;;info@hollandlift.com                                        ;;;;
00000013;DANI-TECH B.V.;;DANITECH;ENERGIEWEG 41 A;2382 NC ;ZOETERWOUDE;NL      ;;071-5417704;;infonl@dani-tech.com                                        ;;Invoicesnl@dani-tech.com;;
00000014;HANSA-FLEX HYDRAULIK GMBH;;HANSA FL;DALLINGERSTRASSE 19;A-4030  ;LINZ    ;ATU     ;;0043-73238797916;;a.lukesch@hansa-flex.at                                     ;;;;
00000016;GEBR. EZENDAM B.V.;;EZENDAM ;OONKSWEG 35;7622 AW ;BORNE   ;NL      ;;074-2670635;;info@ezendam.info                                           ;;;;
00000017;BULMAK GMBH;;BULMAK  ;BOSCHSTRASSE 38;D 50171 ;KERPEN  ;DE      ;;0049 22379232613;;info@bulmak.de                                              ;;;;
00000018;HORVATH ES CSIKI KFT.;;HORVATH ;ARVAVAR U. 4;H-1155  ;BUDAPEST;HU      ;GABOR HORVATH;0036-1-3990375;;;;;;M290520 
00000019;STUCCHI S.P.A.;;STUCCHI ;VIA GALILEO GALILEI 1;24053   ;BRIGNANO GERA D'ADDA (BG);IT      ;To Mauro Rossetti;0039-0363380124a;0039-0363380159m;;;;;
00000020;FINDYNAMICA;;FINDY   ;AMPERESTRAAT 13;1976 BE ;IJMUIDEN;NL      ;;0255-745065;;;;;;
00000021;MANULI SONATRA S.A.S;;MANULI S;42-44 RUE DE GRANDE BRETAGNE;BP 60237;44472 CARQUEFOU CEDEX;FR      ;;0033-0240935799;;;;;;M311220 
00000022;AIR-TRADING ROTTERDAM;;AIR-TRAD;BETTOWEG 21-23;3125 AB ;SCHIEDAM;NL      ;;010-4374677;;info@airtrading.nl                                          ;;;;
00000023;Multifloors;;MULTIFLO;Neutronweg 55 ;3542 AH ;UTRECHT;NL      ;;0302475060;;info@itotaal.com;;;;
00000024;J.D.W. Boelen;;BOELEN  ;Sophialaan 61 ;2157 NE ;ABBENES;NL      ;;0651851636;;jdw.boelen@gmail.com;;;;
00000025;VAF Instruments B.V.;;VAF INST;Vierlinghstraat 24 ;3316 EL ;DORDRECHT;NL      ;;078 6183100;;wveth@vaf.nl;;Wveth@vaf.nl;;
00000026;DE VRIES MACHINESERVICE;;VRIES   ;GRENSSTRAAT 13;7091 BX ;DINXPERLO;NL      ;;0655874949;;info@forestcare.nl                                          ;;;;
00000027;Wieberen Postema;;WIEBEREN;Martenawei 9 ;9056 PG ;KOARNJUM;NL      ;;0582572534;;wieberen.postema@chello.nl;;;;
00000028;GARAGE VAN DE VOORDE;;VOORDE  ;POVERSTRAAT 72;1700    ;DILBEEK;NL      ;;025695707;;gar.vdv@skynet.be                                           ;;;;
00000029;HYDROPNEUMOTION BV;;HYDROPNE;POLYCHEMSTRAAT 30;6191 NL ;BEEK;NL      ;;046-4369174;;purchasing@hydropneumotion.nl                               ;;;;
00000030;M EN H HANDELSONDERNEMING B.V.;;M EN H  ;TURFSTEKER 6;5253 RL ;NIEUWKUIJK;NL      ;;06-53390652;;hans@lammers.nl;;;;
00000031;ADW;;ADW     ;BURGERMEESTER JANSSTRAAT 31;7925 PV ;LINDE;NL      ;;06-29202249;;woortman9@hotmail.com;;;;
00000032;JKN LOGISTICS BV;;JKN LOGI;KANAALWEG 25-35;2903 LR ;CAPELLE AAN DEN IJSSEL;NL      ;;010-4581470;;info@jknlog.com                                             ;;;;
00000033;PROMAS SERVICE BV;;PROMAS S;VOLTAWEG 18;5993 SE ;MAASBREE;NL      ;;077-3270889;;service@promascnc.nl                                        ;;invoices@promascnc.nl;;
00000034;DE REGT;CONVEYOR SYSTEMS BV;REGT    ;IJZENDIJKSEWEG 5;4521 GX ;BIERVLIET;NL      ;DHR.BERT KEULERS;0115-456200;;demi@deregt.com                                             ;bert@deregt.com;Invoice@deregt.com;;
00000035;DE GROOT;;GROOT   ;HOUTWEG 4;2461 GR ;TER AAR;NL      ;;0172-609269;;magazijn@degrootmetaalbewerking.nl;;Factuur@degrootmetaalbewerking.nl;;
00000036;WMW TECHNIEK BV;;WMW TECH;OHMWEG 20;4454 AA ;BORSSELE;NL      ;;0113-350736;;hwalhout@wmwtechniek.nl;;Administratie@wmwtechniek.nl;;
00000038;HAVELAAR SUSTAINABLE VEHICLES;;HAVELAAR;LIVINGSTONEWEG 44;4462 GL ;GOES;NL      ;;0113-362010;;niels visser <n.visser@havelaarev.com>;;;;
00000039;CK LOOSBROCK EUROPE;;CK LOOSB;KLOMPENMAKERSTRAAT 16C;2984 BB ;RIDDERKERK;NL      ;;0180-331100;;expediting-europe@ckloosbrock.com                           ;;Accounts-europe@ckloosbrock.com;;
00000040;Luitec B.V.;;LUITEC B;Albert Einsteinweg  10;2408 AR ;ALPHEN A/D RIJN;NL      ;;0885012700;;info@luitec.nl;;;;
00000041;Erich Brandstetter ;;ERICH BR;Am Rothenberg 20 ;55425   ;WALDALGESHEIM;DE      ;; 4915143183274;;erichbrandstetter@mailbox.org;;;;
00000042;SANDERS IJZERGIETERIJ EN;;SANDERS ;WHEEWEG 24;7471 EW ;GOOR;NL      ;;31 (0547) 289494;;gears@sanders.biz;;Administration@sanders.biz;;
00000043;Hydro Schagen Techniek;;HYDRO SC;WITTE PAAL 116;1742 NW ;SCHAGEN;NL      ;;;;info@hydropennings.nl                                       ;;Finance@hydropennings.nl;;
00000044;PETERS OLIE;;PETERS O;ZOMERWEG 11;6996 DD ;DREMPT;NL      ;;0313-475918;;info@petersolie.nl;;;;
00000045;WITTEVEEN MATERIEELDIENST BV;;WITTEVEE;EGMONDSTRAAT 4;1976 BR ;IJMUIDEN;NL      ;T.a.v. J. Witteveen;;06-10046172;administratie@witkraan.nl                                   ;;;;M010118 
00000046;SNIJDERS;HYDR.SLANGEN EN KOPPELINGEN BV;SNIJDERS;JACOBUS LIPSWEG 100;3316 BP ;DORDRECHT;NL      ;;078-6181455;;info@snijders.nl                                            ;;Factuur@snijders.nl;;
00000047;CM PARTS;;CM PARTS;DE SLUIS 42;7681 KB ;VROOMSHOOP;NL      ;;06-39343638;;sales@cmparts.nl;;;;
00000048;VAN HERK HYDRAULIEK;;HERK    ;LANGEWEG 72;4675 RM ;SINT PHILIPSLAND;NL      ;Gerben van Herk;;06-21226147;info@vanherkhydrauliek.nl                                   ;;;Info@vanherkhydrauliek.nl;
