Laag;Groep;Volgnummer
0;F       ;Hydrauliek
1;F01     ;Slangen en beschermspiraal
1;F0201   ;Slangkoppelingen 1/2 lagen,4SP
1;F0203   ;Slangkoppelingen 4SP, 4SH, R15 niet schillen
1;F0204   ;Slangkoppelingen 4SH en R15
1;F03     ;Hd-buis en leidingklemmen
1;F04     ;Snijringkoppelingen
1;F05     ;Adapters
1;F06     ;Snelkoppeling (steek)
1;F07     ;Schroefsnelkoppelingen
1;F08     ;Flatface snelkoppelingen
1;F09     ;Multikoppeling
1;F10     ;M+S motoren, orbitrols, remmen
1;F1002   ;SAI motoren
1;F1101   ;Kogelkranen
1;F1102   ;Diverse Ventielen en Kleppen
1;F12010  ;Walvoil ventielen handbediend
1;F12011  ;Elektrische ventielen
1;F12012  ;Danfoss ventielen
1;F1205   ;Ventielen NG6
1;F120502 ;Elektrische ventielen NG10
1;F12053  ;PVG ventielen Sauer Danfoss
1;F13     ;Cilinders
1;F14     ;Manometers en kijkglazen
1;F15     ;Aggregaatbouw en filters
1;F16     ;Pompen
1;F17     ;Afdichtingen
1;F1701   ;Statische afdichtingen
1;F19     ;Machines hydrauliek
1;F21     ;Brandstof en Airco
1;F29     ;Spare parts
2;F0101011;Hydr.slang R1AT DIN EN 853 1SN
2;F0101012;Hydr.slang compact 1-SC EN 857
2;F0101016;Hydr.slang lagedruk R6 SAE 100
2;F0101021;Hydr.slang R2AT DIN EN 853 2SN
2;F0101022;Hydr.slang compact 2-SC EN 857
2;F0101023;Hydr.slang OVERMASTER
2;F0101024;Hydr.slang 2-TE DIN EN 854
2;F0101031;Aanzuigslang R4 SAE 100
2;F0101041;Hydr.slang 4-SP DIN EN 856
2;F0101042;Hydr.slang 4-SH DIN EN 856
2;F0101043;Hydr.slang R15 SAE 100
2;F0102001;Hydr.slang R7 SAE100 kunststof
2;F0102002;Hydr.slang R8 SAE100 kunststof
2;F0102003;Hydr.slang SA1 kunststof
2;F0102004;Hydr.slang SA2 kunststof
2;F0103001;Luchtslang
2;F0103021;Cleanerslang Diesse
2;F0103022;Cleanerslang Trelljet
2;F0109001;Beschermspiraal kunststof
2;F0110001;Beschermveren staal
2;F0201001;Pershuls 1-SN , 2-SN non skive
2;F0201002;Pershuls 1-SN , 2-SC non skive
2;F0201003;Pershuls 1-SC non skive
2;F0201004;Pershuls Overmaster schillen
2;F0201005;Pershuls 2-SN schillen
2;F0201030;Pershuls R3
2;F0201040;Pershuls 4SP schillen
2;F0201059;Pershuls 4SP en 4SH niet schillen
2;F0201060;Pershuls 4SH en R15 schillen
2;F0201061;Pershuls R15 schillen
2;F0201070;Pershuls R7, R8, SA1
2;F0201099;Reparatie slangkoppeling
2;F0201100;Slangkopp.bu.draad BSP "AGR"
2;F0201101;Slangk.bu.dr.taps BSP "AGR"
2;F0201102;Slangkopp. wartel BSP "DKR"
2;F0201104;Slangk.wartel BSP "DKR" 90gr.
2;F0201105;Slangk.wartel BSP "DKR" 45gr.
2;F0201109;Slangkopp.bu.dr.BSP "AGR" vlak
2;F0201110;Slangk. wartel BSP "DKR" vlak
2;F0201111;BSP Banjobout
2;F0201112;Slangk. met BSP banjo
2;F0201290;Slangk. npt uitwendig AGN
2;F0201301;Slangk. jic uitwendig AGJ
2;F0201302;Slangk. wartel jic DKJ recht
2;F0201303;Slangk. wartel jic DKJ 90gr.
2;F0201304;Slangk. wartel jic DKJ 45gr.
2;F0201310;Slangk. wartel jic 60gr. conus
2;F0201311;Slangk. 90gr wartel jic 60gr.
2;F0201350;Slangk. sae uitwendig AGJ
2;F0201351;Slangk. wartel jic DKJ recht
2;F0201352;Slangk. wartel jic DKJ 90gr.
2;F0201353;Slangk. wartel jic DKJ 45gr.
2;F0201360;Slangk. unf uitwendig ORMS
2;F0201361;Slangk. wartel unf ORFS recht
2;F0201362;Slangk. wartel unf ORFS 90gr.
2;F0201363;Slangk. wartel unf ORFS 45gr.
2;F0201401;Slangk. metr. uitwendig AGM
2;F0201403;Slangk. wartel metrisch DKM
2;F0201405;Slangk. wartel metr. DKM 90gr
2;F0201407;Slangk. wartel metr. DKM 45gr
2;F0201408;Slangk. met metr. banjo
2;F0201409;Metrische banjobout
2;F0201410;Slangk.metr. uitwendig CEL
2;F0201411;Slangk.metr.uitwendig CES
2;F0201412;Slangk. wartel metr. DKOL
2;F0201413;Slangk. wartel metr. DKOS
2;F0201414;Slangk.wartel metr. DKOL 90gr
2;F0201415;Slangk.wartel metr. DKOS 90gr
2;F0201416;Slangk. wartel metr. DKOL 45gr
2;F0201417;Slangk.wartel metr. DKOS 45gr
2;F0201418;Slangk.metr.standpijp"BEL"rech
2;F0201419;Slangk.metr.standpijp"BEL"90g
2;F0201420;Slangk.metr.standpijp"BEL"45g
2;F0201450;Slangk.metr.uitwendig AGF
2;F0201452;Slangk.wartel metrisch DKF
2;F0201453;Slangk.wartel metr. DKF 90gr
2;F0201454;Slangk.wartel metr. DKF 45gr
2;F0201460;Slangk.wartel metr. Komatsu
2;F0201461;Slangk.wart.metr. Komatsu 90gr
2;F0201501;Flenskopp. SAE 3000 PSI recht
2;F0201502;Flenskopp. SAE 3000 PSI 90gr.
2;F0201503;Flenskopp. SAE 3000 PSI 45gr.
2;F0201504;SAE flens 3000 PSI 2/4 lagen
2;F0201510;Flenskopp. SAE 6000 PSI recht
2;F0201511;Flenskopp. SAE 6000 PSI 90gr.
2;F0201512;Flenskopp. SAE 6000 PSI 45gr.
2;F0201513;SAE flens 6000 PSI 2/4 lagen
2;F0201520;Flensk. "CAT" 9000 PSI recht
2;F0201521;Flensk. "CAT" 9000 PSI 90gr.
2;F0201522;Flensk. "CAT" 9000 PSI 45gr
2;F0201530;Slangkopp. Poclain 2-gats
2;F0201531;Slangkopp. Poclain 4-gats
2;F0201532;Slangkopp.Poclain draaib.2gats
2;F0201533;Slangkopp.Poclain draaib.4gats
2;F0201534;Slangk.Poclain dr.2gats 90gr
2;F0201535;Slangkopp.Poclain dr. 4gats 90
2;F0203100;Slangkopp. bu. draad BSP "AGR"
2;F0203102;Slangkopp. wartel BSP "DKR"
2;F0203104;Slangk. wartel BSP "DKR" 90gr.
2;F0203105;Slangk. wartel BSP "DKR" 45gr.
2;F0203290;Slangk. npt uitwendig "AGN"
2;F0203301;Slangk. jic uitwendig AGJ
2;F0203302;Slangk. wartel jic DKJ  recht
2;F0203303;Slangk. wartel jic DKJ 90gr.
2;F0203304;Slangk. wartel jic DKJ 45gr.
2;F0203360;Slangk. unf uitwendig ORMS
2;F0203361;Slangk. wartel unf ORFS recht
2;F0203362;Slangk. wartel unf ORFS 90gr.
2;F0203363;Slangk. wartel unf ORFS  45gr.
2;F0203411;Slangk. metr. uitwendig CES
2;F0203413;Slangk. wartel metrisch DKOS
2;F0203415; Slangk. wartel metr. DKOS 90gr.
2;F0203417;Slangk. wartel metr. DKOS 45gr.
2;F0203501;Flenskopp. SAE 3000 PSI recht
2;F0203502;Flenskopp. SAE 3000 PSI 90gr.
2;F0203503;Flenskopp. SAE 3000 PSI 45gr
2;F0203510;Flenskopp. SAE 6000 PSI recht
2;F0203511;Flenskopp. SAE 6000 PSI 90gr.
2;F0203512;Flenskopp. SAE 6000 PSI 45gr.
2;F0203520;Flensk. "CAT" 9000 PSI recht
2;F0203521;Flensk. "CAT" 9000 PSI 90gr.
2;F0203522;Flensk. "CAT" 9000 PSI 45gr.
2;F0204100;Slangkopp.bu.draad BSP "AGR"
2;F0204102;Slangkopp. wartel BSP "DKR"
2;F0204104;Slangk. wartel BSP "DKR" 90gr.
2;F0204105;Slangk. wartel BSP "DKR" 45gr.
2;F0204290;Slangk. npt uitwendig AGN
2;F0204301;Slangk. jic uitwendig AGJ
2;F0204302;Slangk.wartel jic DKJ recht
2;F0204303;Slangk. wartel jic DKJ 90gr.
2;F0204304;Slangk. wartel jic DKJ 45gr
2;F0204360;Slangk. unf uitwendig ORMS
2;F0204361;Slangk. wartel unf ORFS recht
2;F0204362;Slangk. wartel unf ORFS 90gr
2;F0204363;Slangk. wartel unf ORFS 45gr.
2;F0204411;Slangk. metr. uitwendig CES
2;F0204413;Slangk. wartel metrisch DKOS
2;F0204415;Slangk. wartel metr. DKOS 90gr
2;F0204417;Slangk. wartel metr. DKOS 45gr
2;F0204501;Flenskopp. SAE 3000 PSI recht
2;F0204502;Flenskopp. SAE 3000 PSI 90gr.
2;F0204503;Flenskopp. SAE 3000 PSI 45gr.
2;F0204510;Flenskopp. SAE 6000 PSI recht
2;F0204511;Flenskopp. SAE 6000 PSI 90gr.
2;F0204512;Flenskopp. SAE 6000 PSI 45gr.
2;F0204513;Flenskopp. SAE 6000 PSI 60gr.
2;F0204520;Flensk. "CAT" 9000 PSI recht
2;F0204521;Flensk. "CAT" 9000 PSI 90gr.
2;F0204522;Flensk. "CAT" 9000 PSI 45gr.
2;F0204530;
2;F0204532;
2;F0301001;Hd-buis naadloos koudgetrokken
2;F0301002;Assenstaal verchroom 20MnV6
2;F0301003;Cilinderbuis
2;F0301004;Profielbuis
2;F0302001;Pijpklemmen enkel
2;F0302002;Pijpklemmen dubbel
2;F0302003;Pijpklemmen zwaar
2;F0401001;Snijring metrisch licht
2;F0401002;Snijring metrisch zwaar
2;F0401005;Moer metrisch licht
2;F0401006;Moer metrisch zwaar
2;F0401007;Rechte pijpkoppeling licht
2;F0401008;Rechte pijpkoppeling zwaar
2;F0401009;Rechte verloopkopp. metr. lich
2;F0401010;Rechte verloopkopp. metr. zwaa
2;F0401011;Haakse pijpkopp. metr. licht
2;F0401012;Haakse pijpkopp. metr. zwaar
2;F0401013;T-pijpkoppeling metrisch licht
2;F0401014;T-pijpkoppeling metrisch zwaar
