Artikelnummer;Oms1;Oms2;Oms3;Zoeknaam;Groep;EAN;Verkoopprijs;Eenheid;Prijs per;Voorraad
000.349.038.1   ;PATROON;;;00034903;F1205200;;0;ST      ;1;2
003011610       ;VEILIGHEIDSKLEP 10-80 BAR;;;VEILIGHE;F36     ;;0;ST      ;1;0
003011630       ;VEILIGHEIDSKLEP 50-350 BAR; 0732008;;VEILIGHE;F36     ;;0;ST      ;1;0
005.008.000     ;MONT.PL. NG10; NIET GEBRUIKEN ALLEEN ROM;;VENTIEL ;F1205020;;104.34;ST      ;1;0
010651653521    ;FLE-PA FLENS Ø352.3H8 DO=Ø333.; Z=8XØ10.5; L=32,0MM;01065165;F1099998;;0;ST      ;1;1
010652040704    ;CLAMPING HUB 35X2X16X8H DIN548;COLLAR OVERTURNED Ø60X6; L=55,0MM;01065165;F1099998;;0;ST      ;1;1
014756          ;TRICOFUEL SLANG;25 METER PER DOOS;;TRICOFUE;F0103001;;33.92;CM      ;100;0
019305000002    ;POMP FLENS; SAE-3 Ø75 PILOT> BORED; L=15,0MM;28UNI221;F1099998;;0;ST      ;1;1
020374          ;BESCHERMSTOP U4;;;BESCHERM;F32     ;;0.10;ST      ;1;180
020376          ;BESCHERMSTOP U6;;;BESCHERM;F32     ;;0.10;ST      ;1;150
020377          ;BESCHERMSTOP U7;;;BESCHERM;F32     ;;0.10;ST      ;1;0
020378          ;BESCHERMSTOP U8;;;BESCHERM;F32     ;;0.10;ST      ;1;100
020379          ;BESCHERMSTOP U9;;;BESCHERM;F32     ;;0.10;ST      ;1;190
020380          ;BESCHERMSTOP U10;;;BESCHERM;F32     ;;0.10;ST      ;1;150
020381          ;BESCHERMSTOP U11;;;BESCHERM;F32     ;;0.10;ST      ;1;70
020382          ;BESCHERMSTOP U12;GPN610 M14+M18;;BESCHERM;F32     ;;0.19;ST      ;1;130
020383          ;BESCHERMSTOP U13;;;BESCHERM;F32     ;;0.14;ST      ;1;113
020384          ;BESCHERMSTOP M18X2;GPN610;;BESCHERM;F32     ;;0.19;ST      ;1;0
020385          ;BESCHERMSTOP U15;;;BESCHERM;F32     ;;0.16;ST      ;1;160
020386          ;BESCHERMSTOP 1/2";GPN610;;BESCHERM;F32     ;;0.19;ST      ;1;138
020387          ;BESCHERMSTOP U17;;;BESCHERM;F32     ;;0.19;ST      ;1;170
020388          ;BESCHERMSTOP U18;;;BESCHERM;F32     ;;0.19;ST      ;1;280
020390          ;BESCHERMSTOP U20;GPN610;;BESCHERM;F32     ;;0.29;ST      ;1;130
020392          ;BESCHERMSTOP 3/4";GPN610;;BESCHERM;F32     ;;0.30;ST      ;1;0
020393          ;BESCHERMSTOP M27*1.5;GPN610;;BESCHERM;F32     ;;0.30;ST      ;1;650
020394          ;BESCHERMSTOP U24;;;BESCHERM;F32     ;;0.43;ST      ;1;100
020395          ;BESCHERMSTOP U25;;;BESCHERM;F32     ;;0.43;ST      ;1;180
020396          ;BESCHERMSTOP 1";GPN610;;BESCHERM;F32     ;;0.45;ST      ;1;142
020397          ;BESCHERMSTOP U27;;;BESCHERM;F32     ;;0.43;ST      ;1;100
020399          ;BESCHERMSTOP U29;GPN610 UITW M38X1.5 INW M42;;BESCHERM;F32     ;;0.45;ST      ;1;98
020402          ;BESCHERMSTOP U31;;;BESCHERM;F32     ;;0.45;ST      ;1;190
020406          ;BESCHERMSTOP U35;;;BESCHERM;F32     ;;0.49;ST      ;1;100
020497          ;BESCHERMSTOP M30X2;GPN700;;BESCHERM;F32     ;;0.27;ST      ;1;1832
020498          ;BESCHERMSTOP M36X2;GPN700;;BESCHERM;F32     ;;0.45;ST      ;1;1842
020558          ;SCHROEFKAP M45X1.5;GPN800;;BESCHERM;F32     ;;1.47;ST      ;1;100
020588          ;SCHROEFKAP 1/4";GPN800;;BESCHERM;F32     ;;0.29;ST      ;1;310
020589          ;SCHROEFKAP 3/8";GPN800;;BESCHERM;F32     ;;0.29;ST      ;1;1055
020590          ;SCHROEFKAP 1/2";GPN800;;BESCHERM;F32     ;;0.29;ST      ;1;190
021223          ;SCHROEFSTOP 1/4";GPN610;;BESCHERM;F32     ;;0.59;ST      ;1;0
021226          ;SCHROEFSTOP 3/8";GPN735;;BESCHERM;F32     ;;0.59;ST      ;1;0
021227          ;SCHROEFSTOP  M18X1.5;GPN735;;BESCHERM;F32     ;;0.59;ST      ;1;200
021229          ;SCHROEFSTOP 1/2";GPN735;;BESCHERM;F32     ;;0.59;ST      ;1;224
021230          ;SCHROEFSTOP  M22X1.5;GPN735;;BESCHERM;F32     ;;0.64;ST      ;1;200
021231          ;SCHROEFSTOP  M26X1.5;GPN735;;BESCHERM;F32     ;;0.71;ST      ;1;200
021232          ;SCHROEFSTOP 3/4";GPN735;;BESCHERM;F32     ;;0.73;ST      ;1;200
021234          ;SCHROEFSTOP 1";GPN610;;BESCHERM;F32     ;;0.92;ST      ;1;225
0320900HSE      ;Slang 2" 900mm 2x ABA56-59;;Slangnummer 11;0320900 ;F35     ;;45.18;ST      ;1;0
03215000HSE     ;Slang 2" 1500mm 2x ABA56-59;;Slangnummer 10;0321500 ;F35     ;;45.18;ST      ;1;0
0400971         ;KOGELKRAAN TYPE 340 B 1/2;;;KOGELKR ;F36     ;;9.89;ST      ;1;0
0400972         ;KOGELKRAAN TYPE 340 B 3/4;;;KOGELKR ;F36     ;;12.92;ST      ;1;0
0440454         ;SLANGPILAAR WF 19MMX1/2 BU;KUNSTSTOF PVC;;PILAAR  ;F1504350;;4.76;ST      ;1;12
0520895         ;PVC ZUIG/PERSSLANG PLEXISTEEL;501 19MM;;SLANG   ;F36     ;;7.61;M       ;1;46
055301100301000 ;VSO-DE-G-12-MP;;;VSO-DE  ;F36     ;;0;ST      ;1;0
08455785033501A ;LASTHOUDKLEP 1/2";;;LASTHOUD;F1102011;;0;ST      ;1;0
1-SC 1/2        ;1ST COMPACTSLANG;;;1SC 1/4 ;F0101012;;11.01;CM      ;100;0
1-SC 1/2 SEMP   ;1SC COMPACTSLANG WP 160 BAR;DIN EN 857 1SC DN12;;1SC 1/2 ;L01     ;;8.48;CM      ;100;0
1-SC 1/4        ;1ST COMPACTSLANG;;;1SC 1/4 ;F0101012;;5.91;CM      ;100;3693
1-SC 3/8        ;1ST COMPACTSLANG;;;1-SC 3/8;F0101012;;8.31;CM      ;100;0
1-SC 3/8 SEMP   ;1SC COMPACTSLANG WP 180 BAR;DIN EN 857 1SC DN10;;1SC 3/8 ;L01     ;;6.95;CM      ;100;0
1-SC 5/16       ;1ST COMPACTSLANG;;;1SC 5/16;F0101012;;6.95;CM      ;100;1090
10010           ;TEMA SNELKOPP.FEMALE 1 BI.DR;;;TEMA    ;F20     ;;100.51;ST      ;1;0
10011           ;TEMA SNELKOPP.FEMALE 1 BI.DR;MET ONTLASTKLEP;;TEMA    ;F20     ;;127.78;ST      ;1;0
100121          ;ST2600 HD-PISTOOL 3/8 BI;;;HD PISTO;F1504350;;69.03;ST      ;1;16
10021           ;TEMA SNELKOPP.MALE 1 BI.DR;MET ONTLASTKLEP;;TEMA    ;F20     ;;69.45;ST      ;1;13
10062020HSE     ;KOPP.PERSFILT. ACCULAADVENTIEL;;Set nummer 13;10062020;F35     ;;20.80;ST      ;1;0
101SL           ;WATERSLANG COMPLEET 20MTR;;;101SL   ;F35     ;;0;ST      ;1;0
10202 (MA14)    ;KOPPELING MPN 200 SADFR;;;FLENS   ;F1601008;;17.94;ST      ;1;450
10379510        ;HAMERSET;;;HAMERSET;F35     ;;0;ST      ;1;0
10407605        ;Slang  R1AT 1/4 760mm Q14*R10;;;10407605;F15     ;;8.73;ST      ;1;0
10411606        ;Slang  R1AT 1/4 1160mm Q14*H10;;;10411606;F15     ;;10.45;ST      ;1;0
1051137006      ;HYDRO MOTOR CHARLIN EATON;;;HYDROMOT;F1001016;;0;ST      ;1;-1
10805002        ;Slang  R1AT5/16 500mm r10*h10;;;10805002;F15     ;;8.61;ST      ;1;0
10806601        ;Slang  R1AT5/16 660mm r10*r10;;;10806602;F15     ;;7.58;ST      ;1;0
10807001        ;Slang  R1AT5/16 700mm r10*r10;;;10807002;F15     ;;10.49;ST      ;1;0
10807201        ;Slang  R1AT5/16 720mm r10*r10;;;10807202;F15     ;;7.78;ST      ;1;0
10808202        ;Slang  R1AT5/16 820mm r10*h10;;;10808202;F35     ;;8.89;ST      ;1;2
10808602        ;Slang  R1AT5/16 860mm r10*h10;;;10808602;F15     ;;0;ST      ;1;0
10810402        ;Slang  R1AT5/16 1040mm r10*h10;;;10810402;F15     ;;9.62;ST      ;1;0
10811001        ;Slang  R1AT5/16 1100mm r10*r10;;;10811002;F15     ;;9.06;ST      ;1;0
109935.05ABF    ;SILICONENTAPE BLAUW 10MTR;50 X 0.5 MM;;109935  ;F0109001;;13.04;PER STUK;1;10
109935.05PBF    ;SILICONENTAPE ZWART 10MTR;50 X 0.5 MM;;109935  ;F0109001;;13.04;PER STUK;1;10
109935.05VBF    ;SILICONENTAPE ROOD 10MTR;50 X 0.5 MM;;109935  ;F0109001;;13.04;PER STUK;1;10
10GA1622355     ;AFSTRIJKER MET METALEN MANTEL;;;AFSTRIJK;F1703002;MAN AS7 16X22;6.09;1       ;1;0
10GA30407       ;AFSTRIJKER MET METALEN MANTEL;30.00X40.00X7.00/10.00;;AFSTRIJK;F1703002;;4.08;1       ;1;0
10GA35457       ;AFSTRIJKER MET METALEN MANTEL;35.00X45.00X7.00/10.00;;AFSTRIJK;F1703002;;4.14;1       ;1;0
10GA40507       ;AFSTRIJKER MET METALEN MANTEL;40.00X50.00X7.00/10.00;;AFSTRIJK;F1703002;;4.43;1       ;1;0
10MU16224       ;AFSTRIJKER/ GACO MANCHET;16.00X22.00X4.00;;AFSTRIJK;F32     ;;18.82;ST      ;1;1
10MU40304       ;AFSTRIJKER/ GACO MANCHET;30.00X40.00X9.00;;AFSTRIJK;F32     ;;8.54;ST      ;1;2
10UWRP16224     ;AFSTRIJKER 10UWR/P POLYURETHAN;16.00X22.00X4.00;;AFSTRIJK;F32     ;;5.27;ST      ;1;50
11062020HSE     ;KOPP.REMCILINDER MANOMETER;;Set nummer 14;11062020;F35     ;;15.04;ST      ;1;0
110SL           ;WATERSLANG COMPLEET 10MTR;;;110SL   ;F35     ;;0;ST      ;1;0
111SL           ;WATERSLANG COMPLEET 20MTR;;;111SL   ;F35     ;;0;ST      ;1;0
1121-1 1/2.KN   ;MESS. DOORVOERKOPP.;NR 1121 1 1/2;;1121 1 1;F1504350;;72.5;ST      ;1;0
1121-1/2.KN     ;MESS. DOORVOERKOPP. NR1121 1/2;;;1121 1/2;F1504350;;19.66;ST      ;1;11
1121-3/4.KN     ;MESS. DOORVOERKOPP. NR1121 3/4;;;1121 3/4;F1504350;;23.94;ST      ;1;35
11238501HI      ;SLANG R1AT 3/4"3850MM 22L"R 2X;;;11238501;F15     ;;0;ST      ;1;0
11304001        ;Slang 1/2 400mm r15*r15;;;11304001;F35     ;;5.76;ST      ;1;0
11305002        ;Slang 1/2 500mm r15*h15;per 01-10-2015;;11305002;F35     ;;23.85;ST      ;1;0
11305008        ;Slang 1/2 500MM 15L*H15;GE15Lm 18+ STOP15L+ M15L;Deutz motoren;11305008;F35     ;;20.85;ST      ;1;0
11313005HSE     ;Slang 1/2 1300mm 15-45gr*h15;uitrichten 0gr.;;1131300 ;F35     ;;15.72;ST      ;1;0
11320002        ;Slang 1/2 2000mm r15*h15;per 01-10-2015;Deutz motoren;11320002;F35     ;;34.13;ST      ;1;0
11320005        ;Slang 1/2 2000MM 15L*XQE;perkins USA;;11320008;F35     ;;42.08;ST      ;1;0
11320008        ;Slang 1/2 2000MM 15L*H15;perkins motoren;;11320008;F35     ;;30.36;ST      ;1;0
11325002        ;Slang 1/2 2500mm r15*h15;;;11325002;F35     ;;14.37;ST      ;1;0
11336002        ;Slang 1/2 3600mm r15*h15;;;11336002;F35     ;;18.49;ST      ;1;0
115SL           ;WATERSLANG COMPLEET 15MTR;;;115SL   ;F35     ;;0;ST      ;1;0
11611002HSE     ;Slang 1" 1100mm r1"*h28l;slanglengte is zaaglengte;Slangnummer 1;1161100 ;F35     ;;34.94;ST      ;1;0
1173180         ;BESCHERMDOP KUNSTOF 5/8; VOOR ACCUMULATOR;;DOP 5/8 ;F1501300;;0;ST      ;1;1000
119010          ;ISOLATIEDEEL HANDGREEP ST53;;;ISOLATIE;F1504350;;15.6;ST      ;1;23
119039          ;NOZZLE BESCHERMER MET SOK MV;;;NOZZLE B;F1601035;;5.08;ST      ;1;7
12004002        ;Slang 3/4 400mm r25s*h25s;;;12004002;F3501001;;0;ST      ;1;0
12007502        ;Slang 3/4 750mm r25s*h25s;;;12007502;F3501001;;0;ST      ;1;0
12011009        ;Slang 3/4 1100mm r25s*h25s;h25s 180 gr op de slang;;12011009;F3501001;;0;ST      ;1;0
12013001KN      ;Slang 3/4 1300mm r25s*r20s;slanglengte is zaaglengte;;12013002;F3501001;;0;ST      ;1;0
12013002        ;Slang 3/4 1300mm r25s*h25s;;;12013002;F3501001;;0;ST      ;1;0
12014502        ;Slang 3/4 1450mm r25s*h25s;;;Z1201450;F3501001;;0;ST      ;1;0
12016001        ;Slang 3/4 1600mm R20S*R25S;;;12035001;F3501001;;0;ST      ;1;0
12016702        ;Slang 3/4 1670mm r25s*h25s;;30124890;1201670 ;F3501001;;0;ST      ;1;200
12017503        ;Slang 3/4 1750mm h25s*h25s;uitrichten op 270 gr.;90102019;1201670 ;F3501001;;0;ST      ;1;0
12020001        ;Slang 3/4 2000mm R20S*R25S;;90100693;12020001;F3501001;;0;ST      ;1;0
12025001        ;Slang 3/4 2500mm R20S*R25S;;;12025001;F3501001;;0;ST      ;1;0
12027001        ;Slang 3/4 2700mm R20S*R25S;;;12027001;F3501001;;0;ST      ;1;0
12030001        ;Slang 3/4 3000mm r25s*r20s;;;12030001;F3501001;;0;ST      ;1;0
12030005        ;Slang 3/4 3000mm r25s*r 1"budr;;;12030005;F3501001;;0;ST      ;1;0
12035001        ;Slang 3/4 3500mm R20S*R25S;;90100135;12035001;F3501001;;0;ST      ;1;0
12040001        ;Slang 3/4 4000mm r25s*r20s;;;12040001;F3501001;;0;ST      ;1;0
12527001        ;Slang 1" 2700mm R25S*R25S;;;12027001;F3501001;;0;ST      ;1;0
13010080        ;AFZUIGSLANG AIRPRENE 80MM;;;AFZUIGSL;F0103001;;98.79;M       ;1;0
1338025029      ;6/2 VENTIEL M27X2; 200 L/MIN 320 BAR;;13380250;F1205200;;0;ST      ;1;0
